"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"SITE","Siteone Landscape Supply Inc","Common stocks","Mid cap","Industrials","$9,119,545,748","0.00%","USA","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$9,110,754,024","2.82%","USA","Analyze"
"FHN","First Horizon National Corp","Common stocks","Mid cap","Financials","$9,091,465,635","3.58%","USA","Analyze"
"OC","Owens Corning","Common stocks","Mid cap","Industrials","$9,071,309,259","1.15%","USA","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Mid cap","Consumer Staples","$9,062,678,927","1.49%","USA","Analyze"
"XPO","XPO Logistics Inc","Common stocks","Mid cap","Industrials","$9,060,058,800","0.00%","USA","Analyze"
"SYNH","Syneos Health Inc","Common stocks","Mid cap","Health Care","$9,059,949,607","0.00%","USA","Analyze"
"GXO","GXO Logistics, Inc.","Common stocks","Mid cap","Industrials","$8,983,884,135","0.00%","USA","Analyze"
"G","Genpact Ltd","Common stocks","Mid cap","Information Technology","$8,983,224,063","0.87%","USA","Analyze"
"UA","Under Armour Inc Class C","Common stocks","Mid cap","Consumer Discretionary","$8,982,729,482","0.00%","USA","Analyze"
"UAA","Under Armour Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$8,982,729,482","0.00%","USA","Analyze"
"XEC","Cimarex Energy","Common stocks","Mid cap","Energy","$8,965,313,918","1.12%","USA","Analyze"
"GPS","Gap Inc","Common stocks","Mid cap","Consumer Discretionary","$8,928,734,243","2.02%","USA","Analyze"
"ATUS","Altice USA, Inc. Class A","Common stocks","Mid cap","Communication Services","$8,918,574,811","0.00%","USA","Analyze"
"JBL","Jabil Inc","Common stocks","Mid cap","Information Technology","$8,901,440,615","0.52%","USA","Analyze"
"TPX","Tempur Sealy International Inc","Common stocks","Mid cap","Consumer Discretionary","$8,897,376,145","0.51%","USA","Analyze"
"COG","Cabot Oil & Gas Corp","Common stocks","Mid cap","Energy","$8,892,528,027","1.87%","USA","Analyze"
"ST","Sensata Technologies Holding Nv","Common stocks","Mid cap","Industrials","$8,886,375,464","0.00%","USA","Analyze"
"STOR","STORE Capital Corporation","REITs","Mid cap","Real Estate","$8,855,960,431","4.40%","USA","Analyze"
"STNE","Stoneco Ltd. - Class A","Common stocks","Mid cap","Information Technology","$8,845,289,449","0.00%","Brazil","Analyze"
"Y","Alleghany Corp","Common stocks","Mid cap","Financials","$8,822,443,557","0.00%","USA","Analyze"
"DBX","Dropbox Inc Class A","Common stocks","Mid cap","Information Technology","$8,778,519,741","0.00%","USA","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$8,743,596,240","0.00%","USA","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,731,854,247","1.15%","USA","Analyze"
"PLAN","Anaplan, Inc.","Common stocks","Mid cap","Information Technology","$8,648,164,982","0.00%","USA","Analyze"
"TW","Tradeweb Markets Inc. - Class A","Common stocks","Mid cap","Financials","$8,647,006,071","0.39%","USA","Analyze"
"AN","AutoNation Inc","Common stocks","Mid cap","Consumer Discretionary","$8,609,352,502","0.00%","USA","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$8,518,942,760","0.58%","USA","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$8,513,912,460","1.26%","USA","Analyze"
"SEIC","SEI Investments","Common stocks","Mid cap","Financials","$8,512,563,734","1.22%","USA","Analyze"
"UTHR","United Therapeutics Corp","Common stocks","Mid cap","Health Care","$8,479,307,794","0.00%","USA","Analyze"
"RUN","Sunrun Inc","Common stocks","Mid cap","Industrials","$8,445,308,680","0.00%","USA","Analyze"
"AGNC","AGNC Investment Corp","Mortgage REITs","Mid cap","Financials","$8,435,277,699","8.62%","USA","Analyze"
"VST","Vistra Energy Corp","Common stocks","Mid cap","Utilities","$8,376,525,812","3.33%","USA","Analyze"
"AZPN","Aspen Technology Inc","Common stocks","Mid cap","Information Technology","$8,372,537,659","0.00%","USA","Analyze"
"KNX","Knight Transportation Inc","Common stocks","Mid cap","Industrials","$8,353,569,664","0.71%","USA","Analyze"
"NYT","New York Times Class A","Common stocks","Mid cap","Communication Services","$8,346,240,505","0.40%","USA","Analyze"
"ERIE","Erie Indemnity Class A","Common stocks","Mid cap","Financials","$8,345,902,697","2.27%","USA","Analyze"
"APA","Apache Corp","Common stocks","Mid cap","Energy","$8,339,155,150","0.23%","USA","Analyze"
"WU","Western Union","Common stocks","Mid cap","Information Technology","$8,330,138,141","4.47%","USA","Analyze"
"BERY","Berry Global Group Inc","Common stocks","Mid cap","Materials","$8,300,655,000","0.00%","USA","Analyze"
"CBSH","Commerce Bancshares Inc","Common stocks","Mid cap","Financials","$8,282,586,602","1.48%","USA","Analyze"
"SMAR","Smartsheet Inc. Class A","Common stocks","Mid cap","Information Technology","$8,269,732,894","0.00%","USA","Analyze"
"VNO","Vornado Realty Trust","REITs","Mid cap","Real Estate","$8,262,015,406","4.83%","USA","Analyze"
"ARW","Arrow Electronics Inc","Common stocks","Mid cap","Information Technology","$8,249,164,798","0.00%","USA","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$8,247,820,509","0.86%","USA","Analyze"
"IPGP","IPG Photonics Corp","Common stocks","Mid cap","Information Technology","$8,233,181,067","0.00%","USA","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,202,895,815","4.50%","USA","Analyze"
"PAG","Penske Automotive Group Inc","Common stocks","Mid cap","Consumer Discretionary","$8,200,760,658","1.69%","USA","Analyze"
"SMG","Scotts Miracle Gro","Common stocks","Mid cap","Materials","$8,178,232,372","1.71%","USA","Analyze"
"MRTX","Mirati Therapeutics Inc","Common stocks","Mid cap","Health Care","$8,162,659,277","0.00%","USA","Analyze"
"VRT","Vertiv Holdings, LLC Class A","Common stocks","Mid cap","Industrials","$8,151,655,939","0.04%","USA","Analyze"
"EQT","EQT Corporation","Common stocks","Mid cap","Energy","$8,118,279,715","0.13%","USA","Analyze"
"GNTX","Gentex Corp","Common stocks","Mid cap","Consumer Discretionary","$8,102,932,853","1.41%","USA","Analyze"
"CVAC","CureVac N.V.","Common stocks","Mid cap","Health Care","$8,093,353,684","0.00%","Germany","Analyze"
"WEX","Wex Inc","Common stocks","Mid cap","Information Technology","$8,087,799,506","0.00%","USA","Analyze"
"USFD","US Foods Holding Corp","Common stocks","Mid cap","Consumer Staples","$8,072,680,432","0.00%","USA","Analyze"
"ATR","Aptargroup Inc","Common stocks","Mid cap","Materials","$8,066,187,133","1.21%","USA","Analyze"
"OLN","Olin Corp","Common stocks","Mid cap","Materials","$8,037,543,834","1.59%","USA","Analyze"
"CIEN","Ciena Corp","Common stocks","Mid cap","Information Technology","$8,014,487,826","0.00%","USA","Analyze"
"MKSI","MKS Instruments Inc","Common stocks","Mid cap","Information Technology","$8,013,353,491","0.58%","USA","Analyze"
"RGA","Reinsurance Group Of America Inc","Common stocks","Mid cap","Financials","$7,995,759,822","2.39%","USA","Analyze"
"LECO","Lincoln Electric Holdings Inc","Common stocks","Mid cap","Industrials","$7,972,057,318","1.14%","USA","Analyze"
"ZNGA","Zynga Inc","Common stocks","Mid cap","Communication Services","$7,926,193,220","0.00%","USA","Analyze"
"OLED","Universal Display Corp","Common stocks","Mid cap","Information Technology","$7,913,789,556","0.45%","USA","Analyze"
"NTNX","Nutanix Inc Class A","Common stocks","Mid cap","Information Technology","$7,899,578,274","0.00%","USA","Analyze"
"GMED","Globus Medical Inc Class A","Common stocks","Mid cap","Health Care","$7,898,730,789","0.00%","USA","Analyze"
"DKS","Dicks Sporting Inc","Common stocks","Mid cap","Consumer Discretionary","$7,883,760,424","1.18%","USA","Analyze"
"JAZZ","Jazz Pharmaceuticals Plc","Common stocks","Mid cap","Health Care","$7,859,497,662","0.00%","USA","Analyze"
"KRC","Kilroy Realty Corporation","REITs","Mid cap","Real Estate","$7,829,216,538","2.97%","USA","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$7,824,623,142","2.32%","USA","Analyze"
"AIRC","Apartment Income REIT Corp.","REITs","Mid cap","Real Estate","$7,823,027,198","2.58%","USA","Analyze"
"REXR","Rexford Industrial Realty, Inc","REITs","Mid cap","Real Estate","$7,822,270,615","1.64%","USA","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$7,775,699,647","0.00%","USA","Analyze"
"WMS","Advanced Drainage Systems Inc","Common stocks","Mid cap","Industrials","$7,775,159,344","0.36%","USA","Analyze"
"CFR","Cullen Frost Bankers Inc","Common stocks","Mid cap","Financials","$7,728,378,900","2.37%","USA","Analyze"
"DNB","Dun & Bradstreet Holdings, Inc.","Common stocks","Mid cap","Industrials","$7,712,099,630","0.00%","USA","Analyze"
"PVH","PVH Corp","Common stocks","Mid cap","Consumer Discretionary","$7,702,698,102","0.00%","USA","Analyze"
"NNN","National Retail Properties, Inc","REITs","Mid cap","Real Estate","$7,687,724,544","4.77%","USA","Analyze"
"PBCT","Peoples United Financial Inc","Common stocks","Mid cap","Financials","$7,677,508,664","3.01%","USA","Analyze"
"TNDM","Tandem Diabetes Care Inc","Common stocks","Mid cap","Health Care","$7,672,564,115","0.00%","USA","Analyze"
"BC","Brunswick Corp","Common stocks","Mid cap","Consumer Discretionary","$7,632,906,746","0.95%","USA","Analyze"
"WH","Wyndham Hotels & Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$7,627,745,667","0.78%","USA","Analyze"
"ITT","ITT Inc","Common stocks","Mid cap","Industrials","$7,611,240,000","0.93%","USA","Analyze"
"SRPT","Sarepta Therapeutics Inc","Common stocks","Mid cap","Health Care","$7,599,614,168","0.00%","USA","Analyze"
"CPRI","Capri Holdings Limited","Common stocks","Mid cap","Consumer Discretionary","$7,580,961,719","0.00%","USA","Analyze"
"FCNCA","First Citizens Bancshares Inc Class A","Common stocks","Mid cap","Financials","$7,577,649,200","0.22%","USA","Analyze"
"OMF","Onemain Holdings Inc","Common stocks","Mid cap","Financials","$7,553,042,640","3.79%","USA","Analyze"
"IAA","IAA, Inc.","Common stocks","Mid cap","Industrials","$7,549,968,208","0.00%","USA","Analyze"
"COLD","Americold Realty Trust","REITs","Mid cap","Real Estate","$7,539,958,979","2.98%","USA","Analyze"
"FAF","First American Financial Corp","Common stocks","Mid cap","Financials","$7,505,332,069","2.75%","USA","Analyze"
"BRKS","Brooks Automation Inc","Common stocks","Mid cap","Information Technology","$7,502,483,694","0.40%","USA","Analyze"
"PII","Polaris Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$7,426,515,565","2.03%","USA","Analyze"
"YETI","Yeti Holdings, Inc.","Common stocks","Mid cap","Consumer Discretionary","$7,420,236,187","0.00%","USA","Analyze"
"SF","Stifel Financial Corp","Common stocks","Mid cap","Financials","$7,411,643,074","0.79%","USA","Analyze"
"BYD","Boyd Gaming Corp","Common stocks","Mid cap","Consumer Discretionary","$7,407,905,646","0.11%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$7,403,331,161","0.34%","USA","Analyze"
"WWD","Woodward Inc","Common stocks","Mid cap","Industrials","$7,386,255,642","0.49%","USA","Analyze"
"JHG","Janus Henderson Group Plc","Common stocks","Mid cap","Financials","$7,376,579,529","3.42%","USA","Analyze"
"PSTG","Pure Storage Inc Class A","Common stocks","Mid cap","Information Technology","$7,320,702,426","0.00%","USA","Analyze"
"EHC","Encompass Health Corp","Common stocks","Mid cap","Health Care","$7,307,555,767","1.14%","USA","Analyze"
"SHC","Sotera Health Co","Common stocks","Mid cap","Health Care","$7,299,256,252","0.00%","USA","Analyze"
"OSK","Oshkosh Corp","Common stocks","Mid cap","Industrials","$7,286,382,154","1.24%","USA","Analyze"
"PNFP","Pinnacle Financial Partners Inc","Common stocks","Mid cap","Financials","$7,279,726,183","0.56%","USA","Analyze"
"ORI","Old Republic International Corp","Common stocks","Mid cap","Financials","$7,276,573,730","3.35%","USA","Analyze"
"DCI","Donaldson Inc","Common stocks","Mid cap","Industrials","$7,213,711,959","1.47%","USA","Analyze"
"VOYA","Voya Financial Inc","Common stocks","Mid cap","Financials","$7,194,179,931","1.01%","USA","Analyze"
"KSS","Kohls Corporation","Common stocks","Mid cap","Consumer Discretionary","$7,188,009,053","1.57%","USA","Analyze"
"STWD","Starwood Property Trust Inc","Mortgage REITs","Mid cap","Financials","$7,163,710,363","7.51%","USA","Analyze"
"PPC","Pilgrims Pride Corp","Common stocks","Mid cap","Consumer Staples","$7,125,072,263","0.00%","USA","Analyze"
"ACC","American Campus Communities, Inc","REITs","Mid cap","Real Estate","$7,083,320,904","3.64%","USA","Analyze"
"OHI","Omega Healthcare Investors, Inc","REITs","Mid cap","Real Estate","$7,077,877,539","8.81%","USA","Analyze"
"CHE","Chemed Corp","Common stocks","Mid cap","Health Care","$7,063,109,564","0.31%","USA","Analyze"
"POST","Post Holdings Inc","Common stocks","Mid cap","Consumer Staples","$7,052,394,236","0.00%","USA","Analyze"
"HUN","Huntsman Corp","Common stocks","Mid cap","Materials","$6,988,572,520","2.20%","USA","Analyze"
"CASY","Caseys General Stores Inc","Common stocks","Mid cap","Consumer Staples","$6,974,480,203","0.71%","USA","Analyze"
"NLSN","Nielsen Holdings Plc","Common stocks","Mid cap","Industrials","$6,967,898,894","1.23%","USA","Analyze"
"EEFT","Euronet Worldwide Inc","Common stocks","Mid cap","Information Technology","$6,946,405,576","0.00%","USA","Analyze"
"VAC","Marriott Vacations Worldwide Corp","Common stocks","Mid cap","Consumer Discretionary","$6,906,129,241","0.00%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Real Estate","$6,873,666,764","1.98%","USA","Analyze"
"BLD","Topbuild Corp","Common stocks","Mid cap","Consumer Discretionary","$6,864,287,481","0.00%","USA","Analyze"
"LFUS","Littelfuse Inc","Common stocks","Mid cap","Information Technology","$6,863,750,138","0.70%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$6,854,254,479","3.67%","USA","Analyze"
"THO","Thor Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,822,228,216","1.32%","USA","Analyze"
"PLNT","Planet Fitness Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$6,779,358,475","0.00%","USA","Analyze"
"NCNO","nCino, Inc.","Common stocks","Mid cap","Information Technology","$6,773,153,389","0.00%","USA","Analyze"
"TOL","Toll Brothers Inc","Common stocks","Mid cap","Consumer Discretionary","$6,755,293,500","1.01%","USA","Analyze"
"PB","Prosperity Bancshares Inc","Common stocks","Mid cap","Financials","$6,693,754,311","2.69%","USA","Analyze"
"AXTA","Axalta Coating Systems Ltd","Common stocks","Mid cap","Materials","$6,686,174,668","0.00%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$6,685,823,657","4.73%","USA","Analyze"
"CFX","Colfax Corp","Common stocks","Mid cap","Industrials","$6,682,940,280","0.00%","USA","Analyze"
"SNV","Synovus Financial Corp","Common stocks","Mid cap","Financials","$6,666,200,161","3.59%","USA","Analyze"
"COTY","Coty Inc Class A","Common stocks","Mid cap","Consumer Staples","$6,642,776,011","0.00%","USA","Analyze"
"NVST","Envista Holdings Corporation","Common stocks","Mid cap","Health Care","$6,637,366,809","0.00%","USA","Analyze"
"EXEL","Exelixis Inc","Common stocks","Mid cap","Health Care","$6,628,626,500","0.00%","USA","Analyze"
"MTZ","Mastec Inc","Common stocks","Mid cap","Industrials","$6,621,456,432","0.00%","USA","Analyze"
"RNR","Renaissancere Holding Ltd","Common stocks","Mid cap","Financials","$6,585,804,436","1.02%","USA","Analyze"
"IBKR","Interactive Brokers Group Inc","Common stocks","Mid cap","Financials","$6,585,405,097","0.45%","USA","Analyze"
"HTA","Healthcare Trust of America, Inc","REITs","Mid cap","Real Estate","$6,569,856,346","4.21%","USA","Analyze"
"BEPC","Brookfield Renewable Corporation Class A","Common stocks","Mid cap","Utilities","$6,542,120,718","3.52%","Canada","Analyze"
"CHNG","Change Healthcare Inc.","Common stocks","Mid cap","Health Care","$6,540,531,977","0.00%","USA","Analyze"
"PRGO","Perrigo Plc","Common stocks","Mid cap","Health Care","$6,475,806,844","1.94%","USA","Analyze"
"COLM","Columbia Sportswear","Common stocks","Mid cap","Consumer Discretionary","$6,475,323,076","0.79%","USA","Analyze"
"MAT","Mattel Inc","Common stocks","Mid cap","Consumer Discretionary","$6,466,419,752","0.00%","USA","Analyze"
"BPOP","Popular Inc","Common stocks","Mid cap","Financials","$6,454,515,274","2.11%","USA","Analyze"
"TSP","TuSimple Holdings Inc.","Common stocks","Mid cap","Industrials","$6,444,957,062","0.00%","USA","Analyze"
"NXST","Nexstar Media Group Inc","Common stocks","Mid cap","Communication Services","$6,421,286,783","1.72%","USA","Analyze"
"BYND","Beyond Meat, Inc.","Common stocks","Mid cap","Consumer Staples","$6,403,247,771","0.00%","USA","Analyze"
"BOKF","BOK Financial Corp","Common stocks","Mid cap","Financials","$6,363,507,551","2.24%","USA","Analyze"
"CACI","CACI International Inc","Common stocks","Mid cap","Industrials","$6,319,702,735","0.00%","USA","Analyze"
"SRCL","Stericycle Inc","Common stocks","Mid cap","Industrials","$6,303,040,903","0.00%","USA","Analyze"
"FRPT","Freshpet Inc","Common stocks","Mid cap","Consumer Staples","$6,269,858,892","0.00%","USA","Analyze"
"COR","CoreSite Realty Corporation","REITs","Mid cap","Real Estate","$6,266,507,604","4.37%","USA","Analyze"
"NYCB","New York Community Bancorp","Common stocks","Mid cap","Financials","$6,245,393,351","4.95%","USA","Analyze"
"INGR","Ingredion Inc","Common stocks","Mid cap","Consumer Staples","$6,236,161,679","2.73%","USA","Analyze"
"ADT","ADT Inc.","Common stocks","Mid cap","Industrials","$6,226,029,829","1.71%","USA","Analyze"
"AYI","Acuity Brands Inc","Common stocks","Mid cap","Industrials","$6,212,143,376","0.30%","USA","Analyze"
"MDU","MDU Resources Group Inc","Common stocks","Mid cap","Utilities","$6,184,264,912","2.75%","USA","Analyze"
"RGLD","Royal Gold Inc","Common stocks","Mid cap","Materials","$6,177,781,829","1.27%","USA","Analyze"
"AMG","Affiliated Managers Group Inc","Common stocks","Mid cap","Financials","$6,163,153,899","0.02%","USA","Analyze"
"RBC","Regal Beloit Corp","Common stocks","Mid cap","Industrials","$6,145,253,342","0.59%","USA","Analyze"
"PYCR","Paycor HCM Inc","Common stocks","Mid cap","Information Technology","$6,119,000,997","0.00%","USA","Analyze"
"COHR","Coherent Inc","Common stocks","Mid cap","Information Technology","$6,110,740,399","0.00%","USA","Analyze"
"MAN","Manpower Inc","Common stocks","Mid cap","Industrials","$6,097,944,015","2.15%","USA","Analyze"
"PRI","Primerica Inc","Common stocks","Mid cap","Financials","$6,073,228,743","1.17%","USA","Analyze"
"X","United States Steel Corporation","Common stocks","Mid cap","Materials","$6,061,685,717","0.18%","USA","Analyze"
"LEG","Leggett & Platt Inc","Common stocks","Mid cap","Consumer Discretionary","$6,058,435,641","3.56%","USA","Analyze"
"LSTR","Landstar System Inc","Common stocks","Mid cap","Industrials","$6,040,686,598","0.55%","USA","Analyze"
"TDC","Teradata Corp","Common stocks","Mid cap","Information Technology","$6,016,865,000","0.00%","USA","Analyze"
"SON","Sonoco Products","Common stocks","Mid cap","Materials","$5,984,052,988","2.89%","USA","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$5,965,624,000","0.00%","USA","Analyze"
"GPK","Graphic Packaging Holding","Common stocks","Mid cap","Materials","$5,947,535,760","1.54%","USA","Analyze"
"LITE","Lumentum Holdings Inc","Common stocks","Mid cap","Information Technology","$5,947,371,252","0.00%","USA","Analyze"
"HBI","Hanesbrands Inc","Common stocks","Mid cap","Consumer Discretionary","$5,911,138,400","3.50%","USA","Analyze"
"RARE","Ultragenyx Pharmaceutical Inc","Common stocks","Mid cap","Health Care","$5,909,877,547","0.00%","USA","Analyze"
"LPX","Louisiana Pacific Corp","Common stocks","Mid cap","Materials","$5,883,056,349","1.04%","USA","Analyze"
"IART","Integra Lifesciences Holdings Corp","Common stocks","Mid cap","Health Care","$5,874,049,192","0.00%","USA","Analyze"
"QS","QuantumScape Corporation Class A","Common stocks","Mid cap","Consumer Discretionary","$5,873,026,964","0.00%","USA","Analyze"
"MSA","MSA Safety Inc","Common stocks","Mid cap","Industrials","$5,846,309,302","1.16%","USA","Analyze"
"REYN","Reynolds Consumer Products Inc.","Common stocks","Mid cap","Consumer Staples","$5,841,788,416","3.32%","USA","Analyze"
"CLH","Clean Harbors Inc","Common stocks","Mid cap","Industrials","$5,814,551,064","0.00%","USA","Analyze"
"CHPT","ChargePoint Holdings, Inc.","Common stocks","Mid cap","Industrials","$5,810,066,829","0.00%","USA","Analyze"
"ACHC","Acadia Healthcare Company Inc","Common stocks","Mid cap","Health Care","$5,802,478,382","0.00%","USA","Analyze"
"SPCE","Virgin Galactic Holdings, Inc.","Common stocks","Mid cap","Industrials","$5,796,086,432","0.00%","USA","Analyze"
"ALGM","Allegro MicroSystems, Inc.","Common stocks","Mid cap","Information Technology","$5,731,118,499","0.00%","USA","Analyze"
"VNT","Vontier Corporation","Common stocks","Mid cap","Information Technology","$5,718,654,087","0.15%","USA","Analyze"
"DLB","Dolby Laboratories Inc Class A","Common stocks","Mid cap","Information Technology","$5,689,649,730","1.01%","USA","Analyze"
"CUZ","Cousins Properties Incorporated","REITs","Mid cap","Real Estate","$5,688,804,257","3.18%","USA","Analyze"
"EXP","Eagle Materials Inc","Common stocks","Mid cap","Materials","$5,673,344,931","0.37%","USA","Analyze"
"VVV","Valvoline Inc","Common stocks","Mid cap","Materials","$5,666,847,255","1.58%","USA","Analyze"
"DEI","Douglas Emmett, Inc","REITs","Mid cap","Real Estate","$5,648,458,874","3.44%","USA","Analyze"
"SKX","Skechers USA Inc","Common stocks","Mid cap","Consumer Discretionary","$5,642,599,163","0.00%","USA","Analyze"
"CR","Crane","Common stocks","Mid cap","Industrials","$5,637,461,993","1.78%","USA","Analyze"
"SRC","Spirit Realty Capital, Inc","REITs","Mid cap","Real Estate","$5,634,800,210","5.21%","USA","Analyze"
"HOG","Harley Davidson Inc","Common stocks","Mid cap","Consumer Discretionary","$5,629,224,884","1.28%","USA","Analyze"
"SNX","Synnex Corp","Common stocks","Mid cap","Information Technology","$5,573,616,443","0.56%","USA","Analyze"
"QDEL","Quidel Corp","Common stocks","Mid cap","Health Care","$5,570,046,827","0.00%","USA","Analyze"
"EVR","Evercore Inc. Class A","Common stocks","Mid cap","Financials","$5,554,805,575","1.40%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$5,544,091,605","0.00%","USA","Analyze"
"HFC","HollyFrontier Corp","Common stocks","Mid cap","Energy","$5,536,039,956","2.05%","USA","Analyze"
"AZEK","The AZEK Company Inc. Class A","Common stocks","Mid cap","Industrials","$5,521,672,745","0.00%","USA","Analyze"
"ESI","Element Solutions Inc.","Common stocks","Mid cap","Materials","$5,520,755,251","0.98%","USA","Analyze"
"FIGS","FIGS, Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,519,217,831","0.00%","USA","Analyze"
"DCT","Duck Creek Technologies","Common stocks","Mid cap","Information Technology","$5,514,794,880","0.00%","USA","Analyze"
"NVT","Nvent Electric Plc","Common stocks","Mid cap","Industrials","$5,485,335,554","2.13%","USA","Analyze"
"LAZ","Lazard, LTD.","Common stocks","Mid cap","Financials","$5,477,049,040","2.86%","USA","Analyze"
"ASH","Ashland Global Inc","Common stocks","Mid cap","Materials","$5,475,819,635","1.27%","USA","Analyze"
"TFSL","TFS Financial Corp","Common stocks","Mid cap","Financials","$5,472,165,290","5.64%","USA","Analyze"
"PACW","Pacwest Bancorp","Common stocks","Mid cap","Financials","$5,466,840,159","2.12%","USA","Analyze"
"MDLA","Medallia, Inc.","Common stocks","Mid cap","Information Technology","$5,458,044,749","0.00%","USA","Analyze"
"UNM","Unum Group","Common stocks","Mid cap","Financials","$5,453,222,315","4.26%","USA","Analyze"
"NCR","NCR Corp","Common stocks","Mid cap","Information Technology","$5,443,902,000","0.00%","USA","Analyze"
"EVBG","Everbridge Inc","Common stocks","Mid cap","Information Technology","$5,425,787,457","0.00%","USA","Analyze"
"SLM","Sallie Mae","Common stocks","Mid cap","Financials","$5,400,555,558","0.68%","USA","Analyze"
"NATI","National Instruments Corp","Common stocks","Mid cap","Information Technology","$5,336,524,801","2.64%","USA","Analyze"
"BWXT","BWX Technologies Inc","Common stocks","Mid cap","Industrials","$5,315,608,754","1.46%","USA","Analyze"
"IDA","IDACORP, Inc.","Common stocks","Mid cap","Utilities","$5,311,292,614","2.67%","USA","Analyze"
"MCW","Mister Car Wash, Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,302,667,412","0.00%","USA","Analyze"
"OZK","Bank of the Ozarks","Common stocks","Mid cap","Financials","$5,301,980,689","1.92%","USA","Analyze"
"CW","Curtiss Wright Corp","Common stocks","Mid cap","Industrials","$5,280,986,151","0.41%","USA","Analyze"
"HXL","Hexcel Corp","Common stocks","Mid cap","Industrials","$5,259,025,524","0.00%","USA","Analyze"
"MTG","MGIC Investment Corp","Common stocks","Mid cap","Financials","$5,242,530,400","1.67%","USA","Analyze"
"CDK","CDK Global Inc","Common stocks","Mid cap","Information Technology","$5,231,606,157","1.38%","USA","Analyze"
"SAM","Boston Beer Inc Class A","Common stocks","Mid cap","Consumer Staples","$5,179,038,190","0.00%","USA","Analyze"
"TKR","Timken","Common stocks","Mid cap","Industrials","$5,159,654,102","1.73%","USA","Analyze"
"FLO","Flowers Foods Inc","Common stocks","Mid cap","Consumer Staples","$5,156,213,601","3.32%","USA","Analyze"
"JBLU","Jetblue Airways Corp","Common stocks","Mid cap","Industrials","$5,126,517,122","0.00%","USA","Analyze"
"HAYW","Hayward Holdings, Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,125,825,880","0.00%","USA","Analyze"
"WBS","Webster Financial Corp","Common stocks","Mid cap","Financials","$5,098,534,137","2.81%","USA","Analyze"
"NFE","New Fortress Energy LLC - Class A Shares","Common stocks","Mid cap","Energy","$5,084,784,674","1.62%","USA","Analyze"
"NFG","National Fuel Gas","Common stocks","Mid cap","Utilities","$5,080,613,901","3.19%","USA","Analyze"
"ADS","Alliance Data Systems Corp","Common stocks","Mid cap","Information Technology","$5,079,589,632","0.82%","USA","Analyze"
"NRZ","New Residential Investment Corp","Mortgage REITs","Mid cap","Financials","$5,071,723,730","7.59%","USA","Analyze"
"TMX","Terminix Global Holdings, Inc.","Common stocks","Mid cap","Consumer Discretionary","$5,053,565,164","0.00%","USA","Analyze"
"VMI","Valmont Inds Inc","Common stocks","Mid cap","Industrials","$5,049,175,147","0.82%","USA","Analyze"
"CERT","Certara, Inc.","Common stocks","Mid cap","Health Care","$5,034,103,823","0.00%","USA","Analyze"
"DV","DoubleVerify Holdings, Inc.","Common stocks","Mid cap","Information Technology","$5,027,560,847","0.00%","USA","Analyze"
"GTES","Gates Industrial Corporation Plc","Common stocks","Mid cap","Industrials","$5,016,974,007","0.00%","USA","Analyze"
"SLG","SL Green Realty Corp","REITs","Mid cap","Real Estate","$5,002,501,712","4.93%","USA","Analyze"
"HLF","Herbalife Ltd","Common stocks","Mid cap","Consumer Staples","$4,982,159,326","0.00%","USA","Analyze"
"ICUI","ICU Medical Inc","Common stocks","Mid cap","Health Care","$4,967,679,468","0.00%","USA","Analyze"
"STL","Sterling Bancorp","Common stocks","Mid cap","Financials","$4,958,042,118","1.08%","USA","Analyze"
"RYN","Rayonier Inc","REITs","Mid cap","Real Estate","$4,954,854,570","3.05%","USA","Analyze"
